division,family,subfamily,tribe,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
,,,,Celarchus,,,,,,
,,,,Celastrina,,,,,,
,,,,Celerena,,,,,,
,,,,Cephonodes,,,,,,
,,,,Cepora,,,,,,
,,,,Cerasana,,,,,,
,,,,Cerynea,,,,,,
,,,,Cethosia,,,,,,
,,,,Chadisra,,,,,,
,,,,Chalciope,,,,,,
,,,,Chalcocelis,,,,,,
,,,,Chalcosia,,,,,,
,,,,Chandica,,,,,,
,,,,Characoma,,,,,,
,,,,Charaxes,,,,,,
,,,,Chasmina,,,,,,
,,,,Checupa,,,,,,
,,,,Cheritra,,,,,,
,,,,Chersonesia,,,,,,
,,,,Chiasmia,,,,,,
,,,,Chilades,,,,,,
,,,,Chilasa,,,,,,
,,,,Chilkasa,,,,,,
,,,,Chilo,,,,,,
,,,,Chloroclystis,,,,,,
,,,,Chloroplaga,,,,,,
,,,,Choaspes,,,,,,
,,,,Chora,,,,,,
,,,,Choreutis,,,,,,
,,,,Chorodna,,,,,,
,,,,Chrysaeglia,,,,,,
,,,,Chrysocraspeda,,,,,,
,,,,Chrysodeixis,,,,,,
,,,,Chrysopera,,,,,,
,,,,Chrysothyridia,,,,,,
,,,,Circobotys,,,,,,
,,,,Cirrhochrista,,,,,,
,,,,Cirrochroa,,,,,,
,,,,Clanis,,,,,,
,,,,Clelea,,,,,,
,,,,Cleoda,,,,,,
,,,,Cleora,,,,,,
,,,,Clethrogyna,,,,,,
,,,,Clostera,,,,,,
,,,,Clupeosoma,,,,,,
,,,,Cnaphalocrocis,,,,,,
,,,,Cnesteboda,,,,,,
,,,,Coenostola,,,,,,
,,,,Coladenia,,,,,,
,,,,Comibaena,,,,,,
,,,,Comostola,,,,,,
,,,,Condica,,,,,,
,,,,Conservula,,,,,,
,,,,Corgatha,,,,,,
,,,,Corymica,,,,,,
,,,,Coryptilum,,,,,,
,,,,Cotachena,,,,,,
,,,,Craniophora,,,,,,
,,,,Craspedosis,,,,,,
,,,,Creatonotos,,,,,,
,,,,Cricula,,,,,,
,,,,Crocidolomia,,,,,,
,,,,Cryptophlebia,,,,,,
,,,,Cryptothelea,,,,,,
,,,,Ctenoplusia,,,,,,
,,,,Culapa,,,,,,
,,,,Culladia,,,,,,
,,,,Cupha,,,,,,
,,,,Curetis,,,,,,
,,,,Cyana,,,,,,
,,,,Cyclodes,,,,,,
,,,,Cyclosia,,,,,,
,,,,Cydalima,,,,,,
,,,,Cynitia,,,,,,
,,,,Cypa,,,,,,
,,,,Cyrestis,,,,,,
,,,,Dacalana,,,,,,
,,,,Daddala,,,,,,
,,,,Danala,,,,,,
,,,,Danaus,,,,,,
,,,,Daona,,,,,,
,,,,Daphnis,,,,,,
,,,,Daphnusa,,,,,,
,,,,Darantasia,,,,,,
,,,,Dasychira,,,,,,
,,,,Dausara,,,,,,
,,,,Decetia,,,,,,
,,,,Delgamma,,,,,,
,,,,Delias,,,,,,
,,,,Deramas,,,,,,
,,,,Derambila,,,,,,
,,,,Deudorix,,,,,,
,,,,Deuterocopus,,,,,,
,,,,Diacrotricha,,,,,,
,,,,Diaphania,,,,,,
,,,,Diarsia,,,,,,
,,,,Diasemia,,,,,,
,,,,Diathrausta,,,,,,
,,,,Dichocrocis,,,,,,
,,,,Dichorragia,,,,,,
,,,,Dichromia,,,,,,
,,,,Dictyestra,,,,,,
,,,,Diduga,,,,,,
,,,,Diehlea,,,,,,
,,,,Dindica,,,,,,
,,,,Dinumma,,,,,,
,,,,Dioryctria,,,,,,
,,,,Discolampa,,,,,,
,,,,Discophora,,,,,,
,,,,Dolbina,,,,,,
,,,,Doleschallia,,,,,,
,,,,Doloessa,,,,,,
,,,,Dophla,,,,,,
,,,,Drina,,,,,,
,,,,Drupadia,,,,,,
,,,,Dudusa,,,,,,
,,,,Dura,,,,,,
,,,,Dyrzela,,,,,,
,,,,Dysaethria,,,,,,
,,,,Dysphania,,,,,,
,,,,Earias,,,,,,
,,,,Ecliptopera,,,,,,
,,,,Ectropis,,,,,,
,,,,Edith,,,,,,
,,,,Edosa,,,,,,
,,,,Egnasia,,,,,,
,,,,Eilema,,,,,,
,,,,Electrophaes,,,,,,
,,,,Elibia,,,,,,
,,,,Eligma,,,,,,
,,,,Elusa,,,,,,
,,,,Elydnodes,,,,,,
,,,,Elymnias,,,,,,
,,,,Endoclita,,,,,,
,,,,Endotricha,,,,,,
,,,,Entomogramma,,,,,,
,,,,Eois,,,,,,
,,,,Eoophyla,,,,,,
,,,,Eooxylides,,,,,,
,,,,Epicrocis,,,,,,
,,,,Episteira,,,,,,
,,,,Episteme,,,,,,
,,,,Ercheia,,,,,,
,,,,Erebus,,,,,,
,,,,Ericeia,,,,,,
,,,,Erionota,,,,,,
,,,,Erites,,,,,,
,,,,Ernolatia,,,,,,
,,,,Ertzica,,,,,,
,,,,Eublema,,,,,,
,,,,Eublemma,,,,,,
,,,,Euchrysops,,,,,,
,,,,Euclasta,,,,,,
,,,,Eucorma,,,,,,
,,,,Eucyclodes,,,,,,
,,,,Eudemis,,,,,,
,,,,Eudocima,,,,,,
,,,,Eugauria,,,,,,
,,,,Eugnathia,,,,,,
,,,,Eugoa,,,,,,
,,,,Eumelea,,,,,,
,,,,Eumeta,,,,,,
,,,,Eupanacra,,,,,,
,,,,Euphiuche,,,,,,
,,,,Euplexidia,,,,,,
,,,,Euplocia,,,,,,
,,,,Euploea,,,,,,
,,,,Euproctis,,,,,,
,,,,Eupterote,,,,,,
,,,,Eurema,,,,,,
,,,,Euripus,,,,,,
,,,,Europlema,,,,,,
,,,,Eurrhyparodes,,,,,,
,,,,Eurypteryx,,,,,,
,,,,Eutelia,,,,,,
,,,,Euthalia,,,,,,
,,,,Eutoea,,,,,,
,,,,Everes,,,,,,
,,,,Exelastis,,,,,,
,,,,Fascellina,,,,,,
,,,,Faunis,,,,,,
,,,,Filodes,,,,,,
,,,,Flammona,,,,,,
,,,,Flos,,,,,,
,,,,Fobeades,,,,,,
,,,,Freyeria,,,,,,
,,,,Fritillerynnis,,,,,,
,,,,Galleria,,,,,,
,,,,Gandaca,,,,,,
,,,,Gangara,,,,,,
,,,,Gangarides,,,,,,
,,,,Ganisa,,,,,,
,,,,Gargetta,,,,,,
,,,,Garudinia,,,,,,
,,,,Gastropacha,,,,,,
,,,,Gatesclarkeana,,,,,,
,,,,Genusa,,,,,,
,,,,Gerontha,,,,,,
,,,,Gerosis,,,,,,
,,,,Gesonia,,,,,,
,,,,Giaura,,,,,,
,,,,Glyphipterix,,,,,,
,,,,Glyphodes,,,,,,
,,,,Gnathothlibus,,,,,,
,,,,Grammodes,,,,,,
,,,,Graphium,,,,,,
,,,,Griseothosea,,,,,,
,,,,Gunda,,,,,,
,,,,Gymnoscelis,,,,,,
,,,,Hadennia,,,,,,
,,,,Halpe,,,,,,
,,,,Hamodes,,,,,,
,,,,Haritalodes,,,,,,
,,,,Hasora,,,,,,
,,,,Hebomoia,,,,,,
,,,,Helicoverpa,,,,,,
,,,,Heliothis,,,,,,
,,,,Hellula,,,,,,
,,,,Hemithea,,,,,,
,,,,Hemonia,,,,,,
,,,,Hepsidera,,,,,,
,,,,Herpetogramma,,,,,,
,,,,Hestinalis,,,,,,
,,,,Hesudra,,,,,,
,,,,Heteralex,,,,,,
,,,,Heterogymna,,,,,,
,,,,Heterolocha,,,,,,
,,,,Heterostegane,,,,,,
,,,,Hexadactilia,,,,,,
,,,,Hipoepa,,,,,,
,,,,Hippotion,,,,,,
,,,,Histia,,,,,,
,,,,Holocraspedon,,,,,,
,,,,Holocryptis,,,,,,
,,,,Homodes,,,,,,
,,,,Homona,,,,,,
,,,,Hoploscopa,,,,,,
,,,,Horaga,,,,,,
,,,,Horithyatira,,,,,,
,,,,Host,,,,,,
,,,,Hulodes,,,,,,
,,,,Hyalinarcha,,,,,,
,,,,Hyalobathra,,,,,,
,,,,Hyalospectra,,,,,,
,,,,Hyarotis,,,,,,
,,,,Hyblaea,,,,,,
,,,,Hydrillodes,,,,,,
,,,,Hydriris,,,,,,
,,,,Hylophyllodes,,,,,,
,,,,Hypena,,,,,,
,,,,Hypenagonia,,,,,,
,,,,Hyperythra,,,,,,
,,,,Hypocala,,,,,,
,,,,Hypochrosis,,,,,,
,,,,Hypolimnas,,,,,,
,,,,Hypolycaena,,,,,,
,,,,Hypomecis,,,,,,
,,,,Hypopyra,,,,,,
,,,,Hyposidra,,,,,,
,,,,Hypospila,,,,,,
,,,,Hypothecla,,,,,,
,,,,Hypsopygia,,,,,,
,,,,Hysteroscene,,,,,,
,,,,Idaea,,,,,,
,,,,Idea,,,,,,
,,,,Ideopsis,,,,,,
,,,,Indomyrlaea,,,,,,
,,,,Inouea,,,,,,
,,,,Ionolyce,,,,,,
,,,,Iraota,,,,,,
,,,,Ischyja,,,,,,
,,,,Isocentris,,,,,,
,,,,Jamides,,,,,,
,,,,Jodis,,,,,,
,,,,Junonia,,,,,,
,,,,Kamalia,,,,,,
,,,,Kaniska,,,,,,
,,,,Koruthaialos,,,,,,
,,,,Krananda,,,,,,
,,,,Kunugia,,,,,,
,,,,Lacera,,,,,,
,,,,Laelia,,,,,,
,,,,Lamoria,,,,,,
,,,,Lampides,,,,,,
,,,,Lamproptera,,,,,,
,,,,Lamprosema,,,,,,
,,,,Lantanophaga,,,,,,
,,,,Lasippa,,,,,,
,,,,Laspeyria,,,,,,
,,,,Lassaba,,,,,,
,,,,Lebadea,,,,,,
,,,,Lemyra,,,,,,
,,,,Lepidoscia,,,,,,
,,,,Leptosia,,,,,,
,,,,Leptotes,,,,,,
,,,,Lethe,,,,,,
,,,,Leucania,,,,,,
,,,,Leucinodes,,,,,,
,,,,Lexias,,,,,,
,,,,Libythea,,,,,,
,,,,Lipararchis,,,,,,
,,,,Lista,,,,,,
,,,,Litobrenthia,,,,,,
,,,,Lixa,,,,,,
,,,,Lobobasis,,,,,,
,,,,Loboschiza,,,,,,
,,,,Locharna,,,,,,
,,,,Loepa,,,,,,
,,,,Logania,,,,,,
,,,,Lomographa,,,,,,
,,,,Lopharthrum,,,,,,
,,,,Lophophelma,,,,,,
,,,,Lophophleps,,,,,,
,,,,Lophoptera,,,,,,
,,,,Loryma,,,,,,
,,,,Loxioda,,,,,,
,,,,Loxura,,,,,,
,,,,Luceria,,,,,,
,,,,Luxiaria,,,,,,
,,,,Lyclene,,,,,,
,,,,Lygniodes,,,,,,
,,,,Lymantria,,,,,,
,,,,Lyssa,,,,,,
,,,,Macaldenia,,,,,,
,,,,Macna,,,,,,
,,,,Macotasa,,,,,,
,,,,Macrauzata,,,,,,
,,,,Macrobrochis,,,,,,
,,,,Macroglossum,,,,,,
,,,,Maliattha,,,,,,
,,,,Mangina,,,,,,
,,,,Manoba,,,,,,
,,,,Marasmia,,,,,,
,,,,Maruca,,,,,,
,,,,Marumba,,,,,,
,,,,Matapa,,,,,,
,,,,Matsutaroa,,,,,,
,,,,Maurilia,,,,,,
,,,,Maxates,,,,,,
,,,,Mecodina,,,,,,
,,,,Megacorma,,,,,,
,,,,Megalorhipida,,,,,,
,,,,Meganoton,,,,,,
,,,,Megisba,,,,,,
,,,,Melanitis,,,,,,
,,,,Melanothrix,,,,,,
,,,,Menelaides,,,,,,
,,,,Menophra,,,,,,
,,,,Metaemene,,,,,,
,,,,Metarbela,,,,,,
,,,,Meteugoa,,,,,,
,,,,Methora,,,,,,
,,,,Metoeca,,,,,,
,,,,Microbelia,,,,,,
,,,,Micromelalopha,,,,,,
,,,,Micronia,,,,,,
,,,,Microplutodes,,,,,,
,,,,Miletus,,,,,,
,,,,Milionia,,,,,,
,,,,Miltochrista,,,,,,
,,,,Mimachrostia,,,,,,
,,,,Mimeusemia,,,,,,
,,,,Mixochlora,,,,,,
,,,,Moca,,,,,,
,,,,Mocis,,,,,,
,,,,Moduza,,,,,,
,,,,Monobolodes,,,,,,
,,,,Monocerotesa,,,,,,
,,,,Monopis,,,,,,
,,,,Mooreana,,,,,,
,,,,Mudaria,,,,,,
,,,,Musotima,,,,,,
,,,,Mycalesis,,,,,,
,,,,Mydosama,,,,,,
,,,,Mythimna,,,,,,
,,,,Naarda,,,,,,
,,,,Nacaduba,,,,,,
,,,,Nacoleia,,,,,,
,,,,Nagiella,,,,,,
,,,,Narosa,,,,,,
,,,,Nausinoe,,,,,,
,,,,Naxa,,,,,,
,,,,Nemophora,,,,,,
,,,,Neochera,,,,,,
,,,,Neoduma,,,,,,
,,,,Neogurelca,,,,,,
