division,family,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
,,Crocosmia,,,,,,
,,Crossostephium,,,,,,
,,Crotalaria,,,,,,
,,Croton,,,,,,
,,Crudia,,,,,,
,,Crypteronia,,,,,,
,,Cryptocarya,,,,,,
,,Cryptocoryne,,,,,,
,,Cryptolepis,,,,,,
,,Cryptostegia,,,,,,
,,Cryptostylis,,,,,,
,,Ctenitis,,,,,,
,,Ctenopterella,,,,,,
,,Cubilia,,,,,,
,,Cucumis,,,,,,
,,Cucurbita,,,,,,
,,Cullen,,,,,,
,,Cuphea,,,,,,
,,Curculigo,,,,,,
,,Curcuma,,,,,,
,,Cuscuta,,,,,,
,,Cyanotis,,,,,,
,,Cyanthillium,,,,,,
,,Cyathocalyx,,,,,,
,,Cyathula,,,,,,
,,Cycas,,,,,,
,,Cyclea,,,,,,
,,Cyclocodon,,,,,,
,,Cyclogramma,,,,,,
,,Cyclopeltis,,,,,,
,,Cyclosorus,,,,,,
,,Cyclospermum,,,,,,
,,Cylindrolobus,,,,,,
,,Cymaria,,,,,,
,,Cymbidium,,,,,,
,,Cymboglossum,,,,,,
,,Cymbopogon,,,,,,
,,Cynanchum,,,,,,
,,Cyne,,,,,,
,,Cynodon,,,,,,
,,Cynoglossum,,,,,,
,,Cynometra,,,,,,
,,Cyperus,,,,,,
,,Cypholophus,,,,,,
,,Cyrtandra,,,,,,
,,Cyrtochloa,,,,,,
,,Cyrtococcum,,,,,,
,,Cyrtomium,,,,,,
,,Cyrtophyllum,,,,,,
,,Cyrtosia,,,,,,
,,Cyrtosperma,,,,,,
,,Cystorchis,,,,,,
,,Dacrycarpus,,,,,,
,,Dacrydium,,,,,,
,,Dacryodes,,,,,,
,,Dactyloctenium,,,,,,
,,Dalbergia,,,,,,
,,Dalea,,,,,,
,,Damnacanthus,,,,,,
,,Daphne,,,,,,
,,Daphniphyllum,,,,,,
,,Dasygrammitis,,,,,,
,,Dasymaschalon,,,,,,
,,Datura,,,,,,
,,Daucus,,,,,,
,,Davallia,,,,,,
,,Davallodes,,,,,,
,,Debia,,,,,,
,,Debregeasia,,,,,,
,,Decaisnina,,,,,,
,,Decalobanthus,,,,,,
,,Decaneuropsis,,,,,,
,,Decaspermum,,,,,,
,,Deeringia,,,,,,
,,Dehaasia,,,,,,
,,Delonix,,,,,,
,,Dendrobium,,,,,,
,,Dendrocalamus,,,,,,
,,Dendrochilum,,,,,,
,,Dendrocnide,,,,,,
,,Dendroconche,,,,,,
,,Dendrolirium,,,,,,
,,Dendrolobium,,,,,,
,,Dendrolycopodium,,,,,,
,,Dendrophthoe,,,,,,
,,Dennstaedtia,,,,,,
,,Dentella,,,,,,
,,Derris,,,,,,
,,Desmodium,,,,,,
,,Desmos,,,,,,
,,Deutzia,,,,,,
,,Dianella,,,,,,
,,Dianthus,,,,,,
,,Dibridsonia,,,,,,
,,Dichanthium,,,,,,
,,Dichapetalum,,,,,,
,,Dichondra,,,,,,
,,Dichorisandra,,,,,,
,,Dichrocephala,,,,,,
,,Dicksonia,,,,,,
,,Dicliptera,,,,,,
,,Dicranopteris,,,,,,
,,Dictyoneura,,,,,,
,,Didymocheton,,,,,,
,,Didymoplexiella,,,,,,
,,Didymoplexis,,,,,,
,,Diectomis,,,,,,
,,Dieffenbachia,,,,,,
,,Dienia,,,,,,
,,Digera,,,,,,
,,Digitalis,,,,,,
