Pseudoceros laingensis
Sepia latimanus
Tridacna crocea
Cardiospermum halicacabum
Ficus microcarpa
Blattella germanica
Elysia marginata
Plotosus lineatus
Hymenia perspectalis
Ceratophyllum demersum
Doriprismatica atromarginata
Polistes sagittarius
Avicennia marina
Batillaria zonalis
Bornella anguilla
Cycloporus venetus
Danaus chrysippus
Andrographis paniculata
Catopsilia pyranthe
Tithonia diversifolia
Nymphaea alba
Cisticola juncidis
Ixobrychus sinensis
Supella longipalpa
Lipinia vittigera
Antirrhinum majus
Taeniura lymma
Palythoa mutuki
Tringa glareola
Bacopa monnieri
Senna obtusifolia
Aporandria specularia
Leptoptilos javanicus
Euthalia aconthea
Ixobrychus cinnamomeus
Theretra silhetensis
Potamarcha congener
Orthetrum chrysis
Tagiades japetus
Zosterops simplex
Libellago lineata
Ypthima baldus
Discophora sondaica
Anthene emolus
Dicaeum cruentatum
Notocrypta paralysos
Chalcoparia singalensis
Iambrix salsala
Jamides celeno
Eurema blanda
Lethe europa
Dendrelaphis pictus
Riptortus linearis
Ariadne ariadne
Cuculus micropterus
Appias lyncida
Junonia atlites
Eclipta prostrata
Pachliopta aristolochiae
Nacaduba pactolus
Acytolepis puspa
Oecobius navus
Fatoua villosa
Amyciaea forticeps
Hemidactylus brookii
Sphex sericeus
Amaranthus retroflexus
Orsotriaena medus
Arhopala centaurus
Pantoporia hordonia
Leucauge fastigata
Parapoynx fluctuosalis
Ptyelinellus praefractus
Danaus genutia
Troides helena
Hypolycaena erylus
Averrhoa carambola
Bixa orellana
Sesamum indicum
Cassida circumdata
Aethopyga siparaja
Trilocha varians
Herennia multipuncta
Polytremis lubricans
Phyllidia ocellata
Ancema blanka
Graphium sarpedon
Dalader planiventris
Nephilengys malabarensis
Vestalis gracilis
Spalgis epius
Copera marginipes
Hydrobasileus croceus
Telamonia dimidiata
Lagerstroemia indica
Parnara ganga
Mycalesis perseus
Tholymis tillarga
Eterusia aedea
Cnaphalocrocis medinalis
Ludwigia palustris
Dendrodoris tuberculosa
Ptecticus aurifer
Tristellateia australasiae
Hulodes caranea
Hierodula patellifera
Ploceus philippinus
Trithemis festiva
Cinnyris jugularis
Yungipicus moluccensis
Rapala pheretima
Erebus ephesperis
Cethosia cyane
Psilopogon haemacephalus
Eurystomus orientalis
Pantoporia sandaka
Aethriamanta brevipennis
Jamides alecto
Loxura atymnus
Euploea midamus
Turnix suscitator
Zelus renardii
Tridacna squamosa
Podocnemis unifilis
Osteoglossum bicirrhosum
Gryllodes sigillatus
Choerodon anchorago
Phintella vittata
Ancistroides nigrita
Ficedula albicilla
Sporodiniella umbellata
Emilia sonchifolia
Leucauge decorata
Carissa carandas
Plerogyra sinuosa
Bipalium kewense
Hyllus semicupreus
Pelopidas assamensis
Sycanus croceovittatus
Ericeia eriophora
Astictopterus jama
Drynaria quercifolia
Asplenium australasicum
Psilotum nudum
Phaedyma columella
Stercorarius parasiticus
Conocephalus melaenus
Creatonotos gangis
Tetraponera rufonigra
Pomacea maculata
Thysanozoon nigropapillosum
Mugil cephalus
Carriola ecnomoda
Dalpada oculata
Leptocentrus taurus
Tylorida striata
Euthalia monina
Brachythemis contaminata
Apis florea
Apis dorsata
Cupha erymanthis
Cigaritis lohita
Paratrechina longicornis
Aegypius monachus
Catacanthus incarnatus
Onychoprion aleuticus
Motacilla tschutschensis
Onychoprion anaethetus
Sterna sumatrana
Prosotas dubiosa
Entacmaea quadricolor
Laticauda colubrina
Gossypium hirsutum
Urothemis signata
Chaetodon adiergastos
Coradion chrysozonus
Parachaetodon ocellatus
Cuphea carthagenensis
Spilostethus hospes
Onychothemis testacea
Chaetodon octofasciatus
Colocasia esculenta
Asclepias curassavica
Abudefduf sexfasciatus
Hydrophasianus chirurgus
Amathusia phidippus
Moduza procris
Euphorbia hypericifolia
Heliconia rostrata
Pueraria montana
Punica granatum
Annona glabra
Ricania speculum
Mocis undata
Syntomoides imaon
Lygodium japonicum
Lutjanus fulviflamma
Arcuatula senhousia
Latrodectus geometricus
Falco amurensis
Glyphodes canthusalis
Matapa aria
Cydalima laticostalis
Macracantha hasselti
Acisoma panorpoides
Asystasia gangetica
Waltheria indica
Clusia rosea
Nymphicus hollandicus
Tagiades gana
Comostola laesaria
Centrosema virginianum
Iris domestica
Acacia mangium
Calotropis gigantea
Eurrhyparodes bracteolalis
Adrapsa ablualis
Hyposidra talaca
Saxicola caprata
Centropus bengalensis
Aetholix flavibasalis
Cyrtophora cicatrosa
Bruguiera gymnorhiza
Xenus cinereus
Calidris subminuta
Calidris ferruginea
Orgyia postica
Perina nuda
Hypomecis separata
Sameodes cancellalis
Bryaninops amplus
Costus lucanusianus
Rapala manea
Acraea terpsicore
Catochrysops strabo
Palythoa tuberculosa
Musa acuminata
Ataboruza divisa
Metoeca foedalis
Hydriris ornatalis
Comibaena attenuata
Gasteracantha kuhli
Heortia vitessoides
Polymorphanisus ocularis
Scopula divisaria
Hyposidra infixaria
Pingasa ruginaria
Pyrausta phoenicealis
Coccoloba uvifera
Dactyloctenium aegyptium
Astronotus ocellatus
Uraeginthus angolensis
Gloriosa superba
Bidens pilosa
Murraya paniculata
Duranta erecta
Cuphea hyssopifolia
Tapinoma melanocephalum
Heptapleurum arboricola
Elaeocarpus hainanensis
Salix babylonica
Leptosia nina
Platyja umminia
Arsacia rectalis
Ceriagrion cerinorubellum
Aviceda leuphotes
Terpsiphone paradisi
Nisaetus cirrhatus
Passiflora foetida
Nemanthus nitidus
Arachis pintoi
Causonis trifolia
Muntingia calabura
Nymphoides indica
Toxotes chatareus
Rapala iarbus
Neopithecops zalmora
Dolichandra unguis-cati
Goniobranchus fidelis
Amandava amandava
Periophthalmus argentilineatus
Diplacodes trivialis
Olene mendosa
Pachira aquatica
Urena lobata
Tirumala limniace
Trithemis aurora
Phylloscopus borealis
Commelina diffusa
Ardeola speciosa
Perina sunda
Calidris ruficollis
Tajuria cippus
Zizula hylax
Rapala varuna
Tagiades litigiosa
Tremella fuciformis
Brachydiplax chalybea
Senna alata
