Polistes sagittarius
Avicennia marina
Batillaria zonalis
Bornella anguilla
Asthenosoma varium
Cycloporus venetus
Danaus chrysippus
Andrographis paniculata
Catopsilia pyranthe
Tithonia diversifolia
Nymphaea alba
Cisticola juncidis
Ixobrychus sinensis
Supella longipalpa
Lipinia vittigera
Antirrhinum majus
Dicksonia antarctica
Taeniura lymma
Palythoa mutuki
Tringa glareola
Bacopa monnieri
Senna obtusifolia
Rhynchospora colorata
Elephantopus tomentosus
Xanthorrhoea preissii
Aporandria specularia
Leptoptilos javanicus
Euthalia aconthea
Ixobrychus cinnamomeus
Theretra silhetensis
Potamarcha congener
Orthetrum chrysis
Tagiades japetus
Zosterops simplex
Libellago lineata
Ypthima baldus
Discophora sondaica
Anthene emolus
Dicaeum cruentatum
Notocrypta paralysos
Chalcoparia singalensis
Iambrix salsala
Jamides celeno
Eurema blanda
Lethe europa
Dendrelaphis pictus
Riptortus linearis
Ariadne ariadne
Cuculus micropterus
Appias lyncida
Junonia atlites
Eclipta prostrata
Nertera granadensis
Pachliopta aristolochiae
Nacaduba pactolus
Acytolepis puspa
Oecobius navus
Fatoua villosa
Amyciaea forticeps
Hemidactylus brookii
Sphex sericeus
Amaranthus retroflexus
Orsotriaena medus
Arhopala centaurus
Pantoporia hordonia
Leucauge fastigata
Parapoynx fluctuosalis
Ptyelinellus praefractus
Danaus genutia
Troides helena
Hypolycaena erylus
Averrhoa carambola
Bixa orellana
Sesamum indicum
Cenchrus americanus
Cassida circumdata
Aethopyga siparaja
Perilla frutescens
Salvia officinalis
Trilocha varians
Herennia multipuncta
Ruta graveolens
Polytremis lubricans
Phyllidia ocellata
Ancema blanka
Graphium sarpedon
Dalader planiventris
Nephilengys malabarensis
Vestalis gracilis
Spalgis epius
Copera marginipes
Hydrobasileus croceus
Telamonia dimidiata
Lagerstroemia indica
Parnara ganga
Mycalesis perseus
Tholymis tillarga
Eterusia aedea
Cnaphalocrocis medinalis
Ludwigia palustris
Dendrodoris tuberculosa
Zamia neurophyllidia
Ptecticus aurifer
Tristellateia australasiae
Amblygobius phalaena
Hulodes caranea
Hierodula patellifera
Ploceus philippinus
Trithemis festiva
Cinnyris jugularis
Yungipicus moluccensis
Rapala pheretima
Erebus ephesperis
Cethosia cyane
Cestrum aurantiacum
Psilopogon haemacephalus
Furcraea foetida
Eurystomus orientalis
Pantoporia sandaka
Aethriamanta brevipennis
Jamides alecto
Loxura atymnus
Euploea midamus
Turnix suscitator
Zelus renardii
Tridacna squamosa
Podocnemis unifilis
Osteoglossum bicirrhosum
Victoria amazonica
Gryllodes sigillatus
Choerodon anchorago
Phintella vittata
Ancistroides nigrita
Ficedula albicilla
Sporodiniella umbellata
Emilia sonchifolia
Leucauge decorata
Carissa carandas
Byrsonima crassifolia
Plerogyra sinuosa
Bipalium kewense
Hyllus semicupreus
Pelopidas assamensis
Sycanus croceovittatus
Ericeia eriophora
Astictopterus jama
Drynaria quercifolia
Asplenium australasicum
Psilotum nudum
Phaedyma columella
Stercorarius parasiticus
Conocephalus melaenus
Creatonotos gangis
Tetraponera rufonigra
Pomacea maculata
Seriatopora hystrix
Myrtus communis
Thysanozoon nigropapillosum
Mugil cephalus
Carriola ecnomoda
Dalpada oculata
Leptocentrus taurus
Tylorida striata
Euthalia monina
Brachythemis contaminata
Apis florea
Apis dorsata
Cupha erymanthis
Cigaritis lohita
Amaranthus cruentus
Heptapleurum actinophyllum
Paratrechina longicornis
Aegypius monachus
Catacanthus incarnatus
Onychoprion aleuticus
Motacilla tschutschensis
Onychoprion anaethetus
Sterna sumatrana
Prosotas dubiosa
Entacmaea quadricolor
Laticauda colubrina
Gossypium hirsutum
Urothemis signata
Chaetodon adiergastos
Coradion chrysozonus
Parachaetodon ocellatus
Cuphea carthagenensis
Spilostethus hospes
Curculigo orchioides
Onychothemis testacea
Chaetodon octofasciatus
Colocasia esculenta
Asclepias curassavica
Abudefduf sexfasciatus
Hedychium flavescens
Hydrophasianus chirurgus
Amathusia phidippus
Moduza procris
Calathea crotalifera
Euphorbia hypericifolia
Heliconia rostrata
Pueraria montana
Euonymus fortunei
Punica granatum
Grevillea robusta
Annona glabra
Ricania speculum
Mocis undata
Syntomoides imaon
Miscanthus sinensis
Lygodium japonicum
Lutjanus fulviflamma
Arcuatula senhousia
Latrodectus geometricus
Falco amurensis
Glyphodes canthusalis
Matapa aria
